Wing_Span,Length,Height,Multi_Engine,TP_mods,Engine_Type,AUW,MEW,FW,Vmax,Vcruise,Vstall,Range,Hmax,Hmax_(One),ROC,ROC_(One),Vlo,Slo,Vl,Sl
43.5,48.41666666666666,13.833333333333334,0,0,2,15780.0,9925.0,4260.0,456.0,438.0,82.27977184992419,1530.0,41000.0,24948.55706977619,3180.0,1220.0,3950.0,2673.634373793344,2930.0,1850.50390657134
36.91666666666666,29.416666666666668,9.916666666666666,0,0,0,5200.0,3125.0,683.4,206.0,193.0,65.0,676.0,19900.0,6850.0,1540.0,330.0,1716.0,1451.0,1582.0,1002.0
41.583333333333336,34.916666666666664,14.333333333333334,1,0,1,6579.0,4050.0,1887.0,300.0,291.0,61.0,1563.0,30000.0,30000.0,2380.0,2380.0,1591.0,1017.0,2034.0,1181.0
43.0,30.08333333333333,11.25,1,0,1,4318.0,2900.0,1011.7,254.0,250.0,60.0,1000.0,27000.0,27000.0,2500.0,2500.0,1200.0,800.0,1000.0,800.0
30.83333333333333,23.5,6.333333333333333,1,0,0,2300.0,1400.0,268.0,150.0,150.0,33.0,360.0,20000.0,20000.0,1350.0,1350.0,600.0,150.0,600.0,300.0
38.833333333333336,28.33333333333333,9.666666666666666,1,0,0,4100.0,2320.0,582.9,224.0,207.0,55.0,715.0,29000.0,29000.0,1150.0,1150.0,2110.0,1270.0,1600.0,825.0
43.25,50.41666666666666,15.75,0,0,2,17500.0,10500.0,6250.0,471.0,426.0,82.0,950.0,40000.0,25000.0,4400.0,1650.0,5400.0,4320.0,3900.0,1603.0
35.833333333333336,26.916666666666668,8.833333333333334,1,0,0,2300.0,1335.0,281.40000000000003,122.0,115.0,44.0,435.0,13100.0,13100.0,645.0,645.0,1525.0,865.0,1250.0,520.0
40.75,25.25,7.833333333333333,1,0,0,3800.0,1900.0,247.9,91.0,78.0,50.0,204.0,6500.0,6500.0,400.0,400.0,1920.0,1120.0,1265.0,420.0
57.91666666666666,43.833333333333336,14.833333333333334,1,0,1,12590.0,8830.0,3645.0,310.0,259.0,80.0,1720.0,35000.0,35000.0,2437.0,2437.0,2951.0618225549265,2111.0,2390.9947316158423,2845.0
35.083333333333336,21.916666666666668,7.0,1,0,0,1220.0,750.0,87.10000000000001,85.0,75.0,38.0,261.0,8500.0,8500.0,400.0,400.0,850.0,525.0,1512.1492796372822,434.78221380631857
39.75,33.666666666666664,11.333333333333334,0,1,0,6840.0,4302.0,1172.5,240.0,227.0,76.0,826.0,26000.0,13340.0,1700.0,300.0,1815.0,1265.0,1720.0,1070.0
35.583333333333336,47.5,12.25,0,0,2,15000.0,7355.0,6098.0,464.0,441.0,104.0,1450.0,45000.0,24500.0,6050.0,1750.0,5186.0,3897.3226132973696,3090.0,2188.8476398269604
38.16666666666666,29.75,9.333333333333334,0,0,0,4440.0,2660.0,623.1,173.0,166.0,60.0,922.0,19300.0,6500.0,1180.0,285.0,1565.0,910.0,1650.0,700.0
40.5,32.416666666666664,13.0,0,0,0,6500.0,3842.0,1005.0,226.0,215.0,62.0,840.0,26300.0,15800.0,1395.0,245.0,1760.0,890.0,1690.0,1115.0
37.833333333333336,28.25,9.583333333333334,0,0,0,5990.0,3650.0,951.4,252.0,247.0,73.0,737.0,32200.0,18600.0,2020.0,410.0,1420.0,1005.0,2080.0,1285.0
45.083333333333336,35.1956818531132,13.136041601824166,1,0,0,7300.0,3850.0,509.2,164.0,152.0,56.0,763.110199748783,22218.560693638992,22218.560693638992,1500.0,1500.0,1965.681847090972,1300.0,1588.604923578907,680.7449169713766
