Length,Height,AUW,MEW,FW,Vmax,Vcruise,Vstall,Range,Hmax,ROC,Vlo,Slo,Vl,Sl
30.08333333333333,11.25,4318.0,2900.0,1011.7,265.0,262.0,60.0,1000.0,27000.0,3000.0,1200.0,800.0,1000.0,800.0
35.166666666666664,14.25,7394.0,4629.0,6032.0,330.0,252.0,91.82855164929155,1730.0,31000.0,1653.0,2423.542162611889,2380.0,2152.05005167154,2430.0
29.83333333333333,11.333333333333334,6000.0,3650.0,1742.0,274.0,257.0,77.5162525356786,1484.0,30000.0,1556.0,2635.0,1784.7449417791263,2659.0,1437.4062644309313
29.58333333333333,11.333333333333334,5092.0,3417.0,1139.0,260.0,245.0,69.0,1000.0,30000.0,1556.0,2438.0,1650.0,2110.0,1020.0
34.916666666666664,14.333333333333334,7394.0,4651.0,1887.0,345.0,333.0,86.98524998878479,1360.0,31000.0,1500.0,3273.534152282123,2832.0,2332.550211710291,2427.0
