Hmax_(One),AUW
27000.0,4000.0
28500.0,3800.0
28500.0,3800.0
30200.0,3400.0
31300.0,3300.0
16000.0,3850.0
17300.0,3800.0
18300.0,3400.0
19900.0,3300.0
21000.0,3100.0
20300.0,3000.0
20700.0,2900.0
26000.0,3800.0
13300.0,3800.0
25600.0,3600.0
24200.0,3600.0
13900.0,3500.0
13900.0,3500.0
13900.0,3500.0
13900.0,3500.0
23500.0,3300.0
11500.0,3300.0
11500.0,3300.0
27000.0,3600.0
26300.0,3600.0
26300.0,3600.0
14800.0,3600.0
14800.0,3600.0
14800.0,3600.0
16700.0,3300.0
26300.0,3600.0
27000.0,3600.0
15700.0,3600.0
14800.0,3600.0
16700.0,3300.0
16100.0,3300.0
16250.0,3350.0
16000.0,3350.0
16000.0,3350.0
16000.0,3350.0
14000.0,4400.0
7800.0,4200.0
8700.0,4000.0
11100.0,4200.0
11100.0,4000.0
6500.0,3800.0
7700.0,3800.0
15700.0,3300.0
13000.0,3300.0
16100.0,3100.0
16400.0,3320.0
15500.0,3350.0
17900.0,3350.0
17500.0,3350.0
16900.0,3300.0
17300.0,3200.0
20000.0,3100.0
18000.0,3100.0
20000.0,3100.0
20000.0,3100.0
18100.0,3100.0
18100.0,3110.0
14900.0,3100.0
16500.0,2950.0
17700.0,2950.0
18900.0,2800.0
18900.0,2800.0
19800.0,2650.0
20100.0,2550.0
15300.0,2950.0
16000.0,2950.0
16000.0,2950.0
14700.0,2800.0
17700.0,2800.0
19600.0,2800.0
21500.0,2650.0
21200.0,2550.0
17100.0,2800.0
16900.0,2800.0
14600.0,2500.0
14600.0,2500.0
15800.0,2500.0
12700.0,2350.0
14500.0,2450.0
15900.0,2350.0
16800.0,2650.0
17000.0,2550.0
17000.0,2550.0
14000.0,2550.0
13500.0,2457.0
13000.0,2400.0
14200.0,2300.0
13100.0,2300.0
13100.0,2300.0
15500.0,2550.0
15000.0,2220.0
12000.0,2220.0
12000.0,2220.0
12000.0,2220.0
13100.0,2300.0
13100.0,2300.0
14200.0,2250.0
15100.0,2200.0
13300.0,2200.0
15500.0,2200.0
14700.0,1670.0
14000.0,1600.0
12650.0,1600.0
14000.0,1600.0
12650.0,1600.0
12650.0,1600.0
10700.0,1650.0
12650.0,1600.0
15300.0,1500.0
15300.0,1500.0
15600.0,1500.0
15100.0,1500.0
15500.0,1450.0
16692.026990820068,6000.0
23476.883380388263,3000.0
17880.264297624595,3400.0
25000.0,3600.0
18000.0,3400.0
18000.0,3400.0
25000.0,3305.0
16800.0,3250.0
25000.0,3305.0
16500.0,3260.0
17400.0,3140.0
20000.0,2950.0
15050.0,2800.0
13900.0,2650.0
17000.0,2550.0
18000.0,2300.0
18000.0,1320.0
28619.08884985121,73000.0
31689.28772305199,70000.0
23430.639576491943,48500.0
31000.0,45500.0
21200.0,45500.0
31000.0,38800.0
25284.20204491178,35200.0
20933.9225651313,42400.0
17400.0,32000.0
20000.0,26455.0
22000.0,27337.0
17000.0,28660.0
18200.0,28660.0
17000.0,19300.0
26000.0,18740.0
23000.0,18300.0
11600.0,12500.0
11600.0,12500.0
8500.0,11579.0
13000.0,5071.0
10000.0,3935.0
17665.239395640856,1609.0
17559.099239134983,1654.0
12154.323404798046,1720.0
18320.42522117087,2535.0
31000.0,7394.0
31000.0,7394.0
31000.0,7394.0
31000.0,7394.0
30000.0,6579.0
25000.0,3083.0
20000.0,3083.0
16000.0,2535.0
13000.0,2535.0
11000.0,2337.0
17155.096517342237,5400.0
25000.0,5920.0
16648.502977291228,120152.0
23548.0,49604.0
26356.615724992163,42858.0
27513.0,37567.0
28189.0,38360.0
27513.0,35759.0
27562.65897599529,40609.0
23605.956192861373,40609.0
9500.0,13007.0
14000.0,1235.0
11800.0,7600.0
17500.0,7300.0
11800.0,8000.0
10200.0,8800.0
14200.0,14500.0
14700.0,12500.0
14200.0,14500.0
